SCALE,DPAWREGION,SCHEDULE,NAMESCIEN,NAMECOMMON,DIST,KNOWNESU_NUM,KNOWNESU_RELIAB,KNOWNESU_TREND,KNOWNESU_TRENDRELIAB,KNOWNESU_NOTES,KNOWNPOPS_NUM,KNOWNPOPS_TRANS,KNOWNPOPS_CAT,KNOWNPOPS_RELIAB,KNOWNPOPS_TREND,KNOWNPOPS_TRENDRELIAB,KNOWNPOPS_NOTES,MATIND_RAW,MATIND_CAT,MATIND_RELIAB,MATIND_TREND,MATIND_TRENDRELIAB,MATIND_NOTES,EOOAREA_RAW,EOOAREA_CAT,EOOAREA_METHOD,EOOAREA_TREND,EOOAREA_NOTES,AOOAREA_RAW,AOOAREA_CAT,AOOAREA_METHOD,AOOAREA_TREND,AOOAREA_NOTES,HABITATSPEC_FIRE,HABITATSPEC_SPATIAL,HABITATSPEC_RELIAB,HABITATSPEC_TREND,HABITATSPEC_NOTES,MOSTRECENTSURVEY_DETECT,MOSTRECENTSURVEY_NODETECT,MOSTRECENTSURVEY_ANECDOTAL,NOTES1,STATUSEPBC,STATUSWA,YEARCURRENTTHREAT,LISTING REASON,PASTPRESSURES_CAT,PASTPRESSURES_SPECIFY,FUTURETHREATS_CAT,FUTURETHREATS_SPECIFY,RECOVERYPLANCOMMENCE,RECOVERYGOALS,RECOVERYTARGETS,CHANGECONSSTATUS,MANREQ_RESEARCH_CAT,MANREQ_RESEARCH_SPECIFY,MANREQ_EVALUATION,MANREQ_EVALUATION_SPECIFY,MANREQ_CONSPLAN_CAT,MANREQ_CONSPLAN_SPECIFY,MANREQ_DIRECT_CAT,MANREQ_DIRECT_SPECIFY,MANREQ_INDIRECT_CAT,MANREQ_INDIRECT_SPECIFY,MANREQ_OTHER_CAT,MANREQ_OTHER_SPECIFY,NOTES2,REFERENCES,FULLASSMENTCOND_CAT,FULLASSMENTCOND_YEAR,LAST_UPDATED
Scale,DPaW region,Schedule,Scientific name,Common name,Geographic distribution,ESU number,ESU number reliability,ESU trend,ESU trend reliability,ESU notes,Population number,Population number translocated,Population IUCN category,Population number reliability,Population trend,Population trend reliability,Population notes,Mature individuals number,Mature individuals IUCN category,Mature individuals number reliability,Mature individuals trend,Mature individuals number trend reliability,Mature individuals notes,EOO area ha,EOO area IUCN category,EOO method,EOO trend,EOO notes,AOO area ha,AOO area IUCN category,AOO method,AOO trend,AOO notes,Habitat specificity fire,Habitat specificity restriction,Habitat specificity restriction reliability,Habitat specificity restriction trend,Habitat specificity notes,Last survey  detected year,Last survey not detected year,Last survey  anecdotal year,Additional notes 1 ,Conservation status EPBC,Conservation status WA,Conservation status assignment year,Conservation status IUCN criteria,Past pressures category,Past pressures comments,Future threats category,Future threats comments,Recovery plan commencement date,Recovery Goals,Recovery Targets,Reassessment of conservation status required,Management requirements research category,Management requirements research comment,Management requirements evaluation,Management requirements evaluation comment,Management requirements conservation planning category,Management requirements conservation planning comment,Management requirements direct intervention category,Management requirements direct intervention comment,Management requirements indirect intervention category,Management requirements indirect intervention comment,Management requirements other category,Management requirements other comment,Additional notes 2,References,Is full assessment condition,Last full assessment date,Last updated on
JAF01,Swan,Sch1: Extant taxa (Rare flora),Banksia aurantia,Orange Banksia,JAF01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,"chlorotic leaves, unattributed cause",,,,,QTP iii) Quantifying threatening processes – species,determine response to fire season & frequency,,,,,,,MI i) Habitat protection through formal conservation reservation (specify),,,,"JM: formal reservation? Proposed bauxite mining? I have added relevant actions in red, PLEASE CHECK",,,,
JAF01,Swan,Sch1: Extant taxa (Rare flora),Banksia aurantia,Orange Banksia,JAF01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire scale,small area likely to all be burnt,,,,,MA iv) Mitigating threatening processes – species,determine reason for chlorosis and appropriate management actions,,,,,,,MI xi) Regulation - environmental impact assessment,,,,,,,,
JAF01,Swan,Sch1: Extant taxa (Rare flora),Banksia aurantia,Orange Banksia,JAF01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vegetation dieback (specify),Pc dieback,,,,,,,,,,,,,MI x) Regulation - Native vegetation clearing/pollution,,,,,,,,
JAF01,Swan,Sch1: Extant taxa (Rare flora),Banksia aurantia,Orange Banksia,JAF01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Altered drainage (specify),"found in drainage lines, may be afftected by salinity or other changes to nutrient balances",,,,,,,,,,,,,MI xi) Regulation - environmental impact assessment,,,,,,,,
JAF01,Swan,Sch1: Extant taxa (Rare flora),Banksia aurantia,Orange Banksia,JAF01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genetic stochasticity,,,,,,,,,,,,,,MI xii) Planning processes,DPaW input to planning process,,,,,,,
JAF01,Swan,Sch1: Extant taxa (Rare flora),Banksia aurantia,Orange Banksia,JAF01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pathogens (specify),,,,,,,,,,,,,,,,,,,,,,
JAF01,Swan,Sch1: Extant taxa (Rare flora),Banksia aurantia,Orange Banksia,JAF01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natural catastrophes,,,,,,,,,,,,,,,,,,,,,,
Western Australia,South Coast,Sch1: Extant taxa (Rare flora),Banksia brownii,Feather-leaved Banksia,"ESP01,JAF02,WAR01",3,Quantitative analysis of data published or publically available following peer review,Static,Quantitative analysis of data published or publically available following peer review,"South Coast Region: ESUs are Stirling Range, Albany Coastal/Millbrook and Vancouver Peninsula but these don't align with IBRA boundaries; translocated pops have a mix of lineages and into different IBRA regions. ",21,2,> 20 (does not meet IUCN location/subpopulation criteria),Quantitative analysis of data not publically available,Increased (new knowledge - biological survey),Quantitative analysis of data not publically available,"South Coast Region: population count; trend is complex - loss of 6 pops since 2002 local extinction; creation of 2 pops through translocations; increase of 5 pops through survey effort. JM: I did not record which pops are included/EX (sorry). TPFL 35, ","231,040","< 1,000,000 (does not meet IUCN mature individual criteria)",Quantitative analysis of data not publically available,Decreased (pressures > recovery actions),Quantitative analysis of data not publically available,South Coast Region: mature individuals count; trend has been overall decline but somewhat offset by increases due to translocations (very small numbers) and new pops found through survey. JM: I did not record which pops are included/EX (sorry). TPFL 11906. ,"304,705","< 500,000ha (potentially meets extent of occurrence criteria EN)",Minimum convex polygon (state detail):,Increased (recovery actions > pressures),South Coast Region: area calc to include and exclude populations; expansion through translocation. S&C calc: 378362ha. ,165.0,"< 1,000ha (potentially meets area of occupancy criteria for CR)",Sum of mapped polygons,Decreased (pressures > recovery actions),"South Coast Region: area calc, mapped polygons; trend declining due to loss of whole pops, subpops and mature individuals within pops. S&C estimate: 4700ha way too large. ",,Moderate,Quantitative analysis of data published or publically available following peer review,Static,South Coast Region: occurs in 3 known habitats across range; Pc dieback is reducing area of available habitat but not number of habitats this taxon is found in. ,2013,,,South Coast Region: past pressures and future threats,Endangered,Critically Endangered,,A3ce,Vegetation dieback (specify),Pc dieback,Vegetation dieback (specify),Pc dieback,2005,,,,SC ii) Phylogeography & genetic variation/structuring ,finalise study of genetic structuring between populations,EV i) Develop/implement ecological monitoring protocols (condition or state of asset),,CP ix) Other management plan (specify),implement Stirling Range fire management strategy,MD ix) Translocation,determine future appropriate sites; use of seed orchards to provide source for translocated plants,MI viii) Biosecurity measures – post border (surveillance) (specify),Pc hygiene (South Coast dieback plan),MI xiii) Education and awareness (specify),engagement with Aboriginal group; maintain DRF markers ,South Coast Region: management actions,,,,
Western Australia,South Coast,Sch1: Extant taxa (Rare flora),Banksia brownii,Feather-leaved Banksia,"ESP01,JAF02,WAR01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire frequency,"too frequent, too infrequent",Fire frequency,"too frequent, too infrequent",,,,,MA iv) Mitigating threatening processes – species,"quantify changes as a result of phosphite application - eg. determine changes in floristics, structure & threatened species abundance compared with non-sprayed habitat ",EV ii) Develop/implement threat monitoring protocols,phosphite monitoring; Pc monitoring,CP i) Threatened taxa recovery plan (specify),update IRP,MD i) Fire management for biodiversity (specify),,MI ii) Habitat protection through other statutory mechanisms (specify),maintain MOUs with seed orchards,,,IRP 2005,,,,
Western Australia,South Coast,Sch1: Extant taxa (Rare flora),Banksia brownii,Feather-leaved Banksia,"ESP01,JAF02,WAR01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pathogens (specify),aerial canker,,,,,,,,,CP ix) Other management plan (specify),translocation plan,MD v) Pathogen control or eradication (specify) ,phosphite application,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),"liaison with landholders, LGAs and Aboriginal group",,,,,,,
Western Australia,South Coast,Sch1: Extant taxa (Rare flora),Banksia brownii,Feather-leaved Banksia,"ESP01,JAF02,WAR01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Climate change (long-term reduced rainfall),,,,,,,,,,,,,,MI v) Ex-situ conservation (specify),"seed collection, seed extraction & storage",,,,,,,
Western Australia,Warren,Sch1: Extant taxa (Rare flora),Banksia brownii,Feather-leaved Banksia,"ESP01,JAF02,WAR01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Australia,Wheatbelt,Sch1: Extant taxa (Rare flora),Banksia brownii,Feather-leaved Banksia,"ESP01,JAF02,WAR01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAR01,South Coast,Sch1: Extant taxa (Rare flora),Banksia brownii,Feather-leaved Banksia,"ESP01,JAF02,WAR01",Refer to State level,,,,,2,1,Refer to State level,Quantitative analysis of data not publically available,Increased (new knowledge - biological survey),Quantitative analysis of data not publically available,South Coast Region: population count; trend. JM: I did not record which pops are included/EX (sorry). ,87,< 250 (potentially meets mature individual criteria CR),Quantitative analysis of data not publically available,Static (increases = decreases),Quantitative analysis of data not publically available,South Coast Region: mature individuals count; trend overall due to translocation (would have been decline otherwise). JM: I did not record which pops are included/EX (sorry). TPFL 245. ,Refer to State level,Refer to State level,-,,Refer to State level. S&C calc: 68ha. ,Not available at subregional level,Not available at subregional level,-,Unknown,Refer to State level. JM: trend unknown at suregional level. S&C estimate: 69ha. ,,Restricted,Quantitative analysis of data published or publically available following peer review,Static,South Coast Region: found in 1 habitat type this subregion. ,2013,,,South Coast Region: past pressures and future threats,Endangered,Critically Endangered,,A3ce,Vegetation dieback (specify),Pc dieback,Vegetation dieback (specify),Pc dieback,2005,,,,,,EV i) Develop/implement ecological monitoring protocols (condition or state of asset),,,,MD ix) Translocation,determine future appropriate sites,MI viii) Biosecurity measures – post border (surveillance) (specify),Pc hygiene (South Coast dieback plan),MI xiii) Education and awareness (specify),engagement with Aboriginal group; maintain DRF markers ,South Coast Region: management actions,,,,
WAR01,South Coast,Sch1: Extant taxa (Rare flora),Banksia brownii,Feather-leaved Banksia,"ESP01,JAF02,WAR01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire frequency,lack of fire,Fire frequency,lack of fire,,,,,,,EV ii) Develop/implement threat monitoring protocols,phosphite monitoring; Pc monitoring,,,MD i) Fire management for biodiversity (specify),,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),"liaison with landholders, LGAs and Aboriginal group",,,IRP 2005,,,,
WAR01,South Coast,Sch1: Extant taxa (Rare flora),Banksia brownii,Feather-leaved Banksia,"ESP01,JAF02,WAR01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pathogens (specify),"aerial canker, armillaria",Pathogens (specify),"aerial canker, armillaria",,,,,,,,,,,MD v) Pathogen control or eradication (specify) ,phosphite application,MI v) Ex-situ conservation (specify),"seed collection, seed extraction & storage",,,,,,,
WAR01,South Coast,Sch1: Extant taxa (Rare flora),Banksia brownii,Feather-leaved Banksia,"ESP01,JAF02,WAR01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental stochasticity,drought (translocated populations),Environmental stochasticity,drought (translocated populations),,,,,,,,,,,,,,,,,,,,,
WAR01,South Coast,Sch1: Extant taxa (Rare flora),Banksia brownii,Feather-leaved Banksia,"ESP01,JAF02,WAR01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Climate change (long-term reduced rainfall),,,,,,,,,,,,,,,,,,,,,,
WAR01,Warren,Sch1: Extant taxa (Rare flora),Banksia brownii,Feather-leaved Banksia,"ESP01,JAF02,WAR01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAF02,South Coast,Sch1: Extant taxa (Rare flora),Banksia brownii,Feather-leaved Banksia,"ESP01,JAF02,WAR01",Refer to State level,,,,,6,0,Refer to State level,Quantitative analysis of data not publically available,Static (increases = losses),Quantitative analysis of data not publically available,South Coast Region: population count; trend overall static due to loss of 2 pops offset by 2 pops found through survey; seed orchard translocation pop not counted. JM: I did not record which pops are included/EX (sorry). TPFL 14. ,"212,145","< 1,000,000 (sub-region)",Quantitative analysis of data not publically available,Decreased (pressures > recovery actions),Quantitative analysis of data not publically available,South Coast Region: mature individuals count; trend some increase/fluctuations in numbers due to fire response and estimation techniques are now more accurate but overall reduction in numbers. TPFL 370. ,Refer to State level,Refer to State level,-,,Refer to State level. S&C calc: 191317ha. ,Not available at subregional level,Not available at subregional level,-,Decreased (pressures > recovery actions),Refer to State level. JM: trend declining as per trend for number of mature individuals. S&C estimate: 2000ha. ,,Moderate,Quantitative analysis of data published or publically available following peer review,Static,South Coast Region: found in 2 habitat types this subregion; Pc dieback is reducing area of available habitat but not number of habitats this taxon is found in. ,2012,,,South Coast Region: past pressures and future threats,Endangered,Critically Endangered,,A3ce,Vegetation dieback (specify),Pc dieback,Vegetation dieback (specify),Pc dieback,2005,,,,,,EV i) Develop/implement ecological monitoring protocols (condition or state of asset),,,,MD ix) Translocation,determine future appropriate sites; use of seed orchards to provide source for translocated plants,MI viii) Biosecurity measures – post border (surveillance) (specify),Pc hygiene (South Coast dieback plan),MI xiii) Education and awareness (specify),engagement with Aboriginal group; maintain DRF markers ,South Coast Region: management actions,,,,
JAF02,South Coast,Sch1: Extant taxa (Rare flora),Banksia brownii,Feather-leaved Banksia,"ESP01,JAF02,WAR01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JM: translocated seed orchard pop is not counted in IUCN metrics but past pressures/future threats and management actions are relevant. ,,,,,,,Environmental stochasticity,drought (translocated populations),,,,,,,EV ii) Develop/implement threat monitoring protocols,phosphite monitoring; Pc monitoring,,,MD i) Fire management for biodiversity (specify),,MI ii) Habitat protection through other statutory mechanisms (specify),maintain MOUs with seed orchards,,,IRP 2005,,,,
JAF02,South Coast,Sch1: Extant taxa (Rare flora),Banksia brownii,Feather-leaved Banksia,"ESP01,JAF02,WAR01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Climate change (long-term reduced rainfall),,,,,,,,,,,,MD v) Pathogen control or eradication (specify) ,phosphite application,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),"liaison with landholders, LGAs and Aboriginal group",,,,,,,
JAF02,Warren,Sch1: Extant taxa (Rare flora),Banksia brownii,Feather-leaved Banksia,"ESP01,JAF02,WAR01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI v) Ex-situ conservation (specify),"seed collection, seed extraction & storage",,,,,,,
JAF02,Wheatbelt,Sch1: Extant taxa (Rare flora),Banksia brownii,Feather-leaved Banksia,"ESP01,JAF02,WAR01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP01,South Coast,Sch1: Extant taxa (Rare flora),Banksia brownii,Feather-leaved Banksia,"ESP01,JAF02,WAR01",Refer to State level,,,,,13,1,Refer to State level,Quantitative analysis of data not publically available,Static (increases = losses),Quantitative analysis of data not publically available,South Coast Region: population count; trend overall static due to loss of 4 pops offset by 1 pop gained through translocation and 3 found through survey. JM: I did not record which pops are included/EX (sorry).,"18,807","< 100,000 (does not meet IUCN mature individual criteria)",Quantitative analysis of data not publically available,Decreased (pressures > recovery actions),Quantitative analysis of data not publically available,South Coast Region: mature individuals count; trend reduction in numbers due to losses of pops. TPFL 370. ,Refer to State level,Refer to State level,-,,Refer to State level. ,Not available at subregional level,Not available at subregional level,-,Decreased (pressures > recovery actions),Refer to State level. JM: trend declining as per trend for number of mature individuals. S&C estimate: 2000ha. ,,Moderate,Quantitative analysis of data published or publically available following peer review,Static,South Coast Region: found in 2 habitat types this subregion; Pc dieback is reducing area of available habitat but not number of habitats this taxon is found in. ,2013,,,South Coast Region: past pressures and future threats,Endangered,Critically Endangered,,A3ce,Vegetation dieback (specify),Pc dieback,Vegetation dieback (specify),Pc dieback,2005,,,,,,EV i) Develop/implement ecological monitoring protocols (condition or state of asset),,CP ix) Other management plan (specify),implement Stirling Range fire management strategy,MD ix) Translocation,determine future appropriate sites,MI viii) Biosecurity measures – post border (surveillance) (specify),Pc hygiene (South Coast dieback plan),MI xiii) Education and awareness (specify),engagement with Aboriginal group; maintain DRF markers ,South Coast Region: management actions,,,,
ESP01,South Coast,Sch1: Extant taxa (Rare flora),Banksia brownii,Feather-leaved Banksia,"ESP01,JAF02,WAR01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire frequency,too frequent fire,Fire frequency,too frequent fire,,,,,,,EV ii) Develop/implement threat monitoring protocols,phosphite monitoring; Pc monitoring,,,MD i) Fire management for biodiversity (specify),,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),"liaison with landholders, LGAs and Aboriginal group",,,IRP 2005,,,,
ESP01,South Coast,Sch1: Extant taxa (Rare flora),Banksia brownii,Feather-leaved Banksia,"ESP01,JAF02,WAR01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Climate change (long-term reduced rainfall),,,,,,,,,,,,MD v) Pathogen control or eradication (specify) ,phosphite application,MI v) Ex-situ conservation (specify),"seed collection, seed extraction & storage",,,,,,,
ESP01,South Coast,Sch1: Extant taxa (Rare flora),Banksia brownii,Feather-leaved Banksia,"ESP01,JAF02,WAR01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Australia,Midwest,Sch1: Extant taxa (Rare flora),Banksia catoglypta,,GES02,1,Expert opinion,Static,Expert opinion,Moora Dist: 1 pop,1,0,Refer to State level,Quantitative unpublished data and expert opinion,Static (no change),Quantitative unpublished data and expert opinion,"Moora Dist: 1 pop only, static. ",912,"< 1,000 (potentially meets mature individual criteria EN)",Quantitative unpublished data and expert opinion,Increased (new knowledge - biological survey),Quantitative unpublished data and expert opinion,"Moora Dist: survey in 2008 counted number of mature indivuals (912), previous count of 20 plants was not a full survey of the pop; trend is actually static but numbers look as is if its an increase due to survey. ",N/A,,,,,34.0,< 100ha (potentially meets area of occupancy criteria for CR),Sum of mapped polygons,Increased (new knowledge - biological survey),"Moora Dist: 2008 survey mapped the pop, increase due to survey. ",,Unknown,Expert opinion,Static,Moora Dist: habitat is ridgetops but only found in 1 location,2008,,,Moora Dist: Past pressures and future threats,,Vulnerable,,D1+2,Cropping/Horticulture (specify),historic clearing & fragmentation of habitat,Cropping/Horticulture (specify),historic clearing & fragmentation of habitat,None,,,Currently threatened taxa but metric and/or trends indicate a higher conservation status  ,SC iii) Determination/re-evaluation of conservation status/formal classification,known from only 1 pop,EV i) Develop/implement ecological monitoring protocols (condition or state of asset),,CP ix) Other management plan (specify),biodiversity management guidelines (2009) for Hi-Vallee farm,MD ix) Translocation,investigate potential for translocation,MI v) Ex-situ conservation (specify),seed collection and storage,MI xiii) Education and awareness (specify),"promotional materials, other private landholders in neighbouring properties",Moora Dist:  private land but conservation minded management,,,,
