SCALE,DPAWREGION,SCHEDULE,NAMESCIEN,NAMECOMMON,DIST,KNOWNESU_NUM,KNOWNESU_RELIAB,KNOWNESU_TREND,KNOWNESU_TRENDRELIAB,KNOWNESU_NOTES,KNOWNPOPS_NUM,KNOWNPOPS_TRANS,KNOWNPOPS_CAT,KNOWNPOPS_RELIAB,KNOWNPOPS_TREND,KNOWNPOPS_TRENDRELIAB,KNOWNPOPS_NOTES,MATIND_RAW,MATIND_CAT,MATIND_RELIAB,MATIND_TREND,MATIND_TRENDRELIAB,MATIND_NOTES,EOOAREA_RAW,EOOAREA_CAT,EOOAREA_METHOD,EOOAREA_TREND,EOOAREA_NOTES,AOOAREA_RAW,AOOAREA_CAT,AOOAREA_METHOD,AOOAREA_TREND,AOOAREA_NOTES,HABITATSPEC_FIRE,HABITATSPEC_SPATIAL,HABITATSPEC_RELIAB,HABITATSPEC_TREND,HABITATSPEC_NOTES,MOSTRECENTSURVEY_DETECT,MOSTRECENTSURVEY_NODETECT,MOSTRECENTSURVEY_ANECDOTAL,NOTES1,STATUSEPBC,STATUSWA,YEARCURRENTTHREAT,LISTING REASON,PASTPRESSURES_CAT,PASTPRESSURES_SPECIFY,FUTURETHREATS_CAT,FUTURETHREATS_SPECIFY,RECOVERYPLANCOMMENCE,RECOVERYGOALS,RECOVERYTARGETS,CHANGECONSSTATUS,MANREQ_RESEARCH_CAT,MANREQ_RESEARCH_SPECIFY,MANREQ_EVALUATION_CAT,MANREQ_EVALUATION_SPECIFY,MANREQ_CONSPLAN_CAT,MANREQ_CONSPLAN_SPECIFY,MANREQ_DIRECT_CAT,MANREQ_DIRECT_SPECIFY,MANREQ_INDIRECT_CAT,MANREQ_INDIRECT_SPECIFY,MANREQ_OTHER_CAT,MANREQ_OTHER_SPECIFY,NOTES2,REFERENCES,FULLASSMENTCOND_CAT,FULLASSMENTCOND_YEAR,LAST_UPDATED
YAL01,Midwest,Sch1:Mammals,Bettongia lesueur lesueur,"Burrowing Bettong (Shark Bay), Boodie",Bernier & Dorre Islands & Heirisson Prong,Refer to State level,,,,,3,1,Refer to State level,Quantitative analysis of data published or publically available following peer review,Static (no change),Quantitative analysis of data published or publically available following peer review,MAP:  Heirisson Prong is translocation but prior to last 10 years (1992). ,"4,500","< 10,000 (sub-region)",Quantitative analysis of data published or publically available following peer review,Large fluctuations,Quantitative analysis of data published or publically available following peer review,JM: Bernier 842 + Dorre 3291 + Heirisson 400-500  (not all are mature)  = 4533-4633 (MAP). Approx figure used. ,Refer to State level,Refer to State level,,Static (no change),S&C: 4576ha,"103,400","< 200,000ha (sub-region)",Sum of mapped polygons,Static (no change),Bernier & Dorre: 16500ha + Heirisson 86900ha = 103400ha,,Broad,Quantitative analysis of data published or publically available but not peer reviewed,Static,Mammal workshop,2013,,,"Mammal workshop: survey, past pressures & future threats",Vulnerable,Vulnerable,1998,D2,Invasive/introduced predators (specify),"cats, foxes",Invasive/introduced predators (specify),"cats, foxes (risk of incursions & constrains reintrodiuction)",2012,,,,,,EV iv) Develop/implement monitoring and evaluation and reporting plan,,,,MD vi) Habitat restoration (specify),maintenance of predator-proof barrier fence at Heirisson Prong,"MI vii) Biosecurity measures – border (inspections, regulatory control) (specify)","island biosecurity to avoid introduction of predators, rodents & weeds",MI xiii) Education and awareness (specify),education of community regarding responsibility for threatened species (Shark Bay),Mammal workshop: management actions,,,,
YAL01,Midwest,Sch1:Mammals,Bettongia lesueur lesueur,"Burrowing Bettong (Shark Bay), Boodie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental stochasticity,environmental changes cause fluctuations,Invasive/introduced omnivores (specify),rats,,,,,,,,,,,MD iii) Predator control or eradication,"cats, foxes",,DPaW input to planning processes,,,JM: I added awareness raising for consistency with other Shark Bay species,,,,
YAL01,Midwest,Sch1:Mammals,Bettongia lesueur lesueur,"Burrowing Bettong (Shark Bay), Boodie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recreational disturbance (specify),,Climate change (long-term higher temperatures),,,,,,,,,,,,MD i) Fire management for biodiversity (specify),,,,,,,,,,
YAL01,Midwest,Sch1:Mammals,Bettongia lesueur lesueur,"Burrowing Bettong (Shark Bay), Boodie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Climate change (long-term reduced rainfall),,,,,,,,,,,,MD ix) Translocation,translocation to Dirk Harthog Island,,,,,,,,,
YAL01,Midwest,Sch1:Mammals,Bettongia lesueur lesueur,"Burrowing Bettong (Shark Bay), Boodie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire scale,"potential wildfire, significant risk to small island populations",,,,,,,,,,,MD xii) Manage access,,,,,,,,,,
YAL01,Midwest,Sch1:Mammals,Bettongia lesueur lesueur,"Burrowing Bettong (Shark Bay), Boodie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recreational disturbance (specify),"recreational use of islands  (increased risk of fire, weed/feral introduction, human disturbance)",,,,,,,,,,,MD i) Fire management for biodiversity (specify),,,,,,,,,,
YAL01,Midwest,Sch1:Mammals,Bettongia lesueur lesueur,"Shark Bay Boodie, Burrowing Bettong",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental stochasticity,"small population, environmental changes cause fluctuations",,,,,,,,,,,,,,,,,,,,,
YAL01,Midwest,Sch1:Mammals,Bettongia lesueur lesueur,"Shark Bay Boodie, Burrowing Bettong",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natural catastrophes,"small population,  high risk",,,,,,,,,,,,,,,,,,,,,
YAL01,Midwest,Sch1:Mammals,Bettongia lesueur lesueur,"Shark Bay Boodie, Burrowing Bettong",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genetic stochasticity,"small population,  high risk",,,,,,,,,,,,,,,,,,,,,
YAL01,Midwest,Sch1:Mammals,Bettongia lesueur lesueur,"Shark Bay Boodie, Burrowing Bettong",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Demographic stochasticity,"small population,  high risk",,,,,,,,,,,,,,,,,,,,,
YAL01,Midwest,Sch1:Mammals,Bettongia lesueur lesueur,"Shark Bay Boodie, Burrowing Bettong",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weeds (specify dominant spp),buffel grass (influences fire regime),,,,,,,,,,,,,,,,,,,,,
GAS02,Goldfields,Sch1:Mammals,Bettongia lesueur lesueur,"Burrowing Bettong (Shark Bay), Boodie",Lorna Glen,Refer to State level,,,,,0,0,Refer to State level,Quantitative unpublished data and expert opinion,N/A,-,"Mammal workshop: translocation, not yet considered successful",N/A,N/A,,,,"Mammal workshop: 300 (translocation, do not include, not yet considered successful)",Refer to State level,Refer to State level,,N/A,,N/A,N/A,,,,,N/A,,,,2013,,,"Mammal workshop: survey, past pressures & future threats",Vulnerable,Vulnerable,1998,D2,Invasive/introduced predators (specify),"cats, foxes, wild dogs/dingoes",Invasive/introduced predators (specify),"cats, foxes (risk of incursions & constrains reintrodiuction)",2012,,,,,,EV iv) Develop/implement monitoring and evaluation and reporting plan ,,CP i) Threatened taxa recovery plan (specify),"Recovery team required, broaden recovery plan to include all populations (currently only Shark Bay)",MD ix) Translocation,"restocking, expansion of population",MI i) Habitat protection through formal conservation reservation (specify),progress reservation of ex Lorna Glen Pastoral Lease,,,"JM: I added management actions from other Lorna Glen species, please check",,,,
GAS02,Goldfields,Sch1:Mammals,Bettongia lesueur lesueur,"Burrowing Bettong (Shark Bay), Boodie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invasive/introduced omnivores (specify),rats,,,,,,,,,,,MD iii) Predator control or eradication,"predator exclosures (fencing); predator control (cats, foxes)",MI xii) Planning processes,DPaW input to planning processes,,,,,,,
GAS02,Goldfields,Sch1:Mammals,Bettongia lesueur lesueur,"Burrowing Bettong (Shark Bay), Boodie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Climate change (long-term higher temperatures),,,,,,,,,,,,MD vi) Habitat restoration (specify),maintenance of predator-proof barrier fence at Heirison Prong & Lorna Glen,,,,,,,,,
GAS02,Goldfields,Sch1:Mammals,Bettongia lesueur lesueur,"Burrowing Bettong (Shark Bay), Boodie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Climate change (long-term reduced rainfall),,,,,,,,,,,,MD i) Fire management for biodiversity (specify),,,,,,,,,,
GAS02,Goldfields,Sch1:Mammals,Bettongia lesueur lesueur,"Burrowing Bettong (Shark Bay), Boodie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire scale,"potential wildfire, significant risk to enclosure populations",,,,,,,,,,,,,,,,,,,,,
GAS02,Goldfields,Sch1:Mammals,Bettongia lesueur lesueur,"Burrowing Bettong (Shark Bay), Boodie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental stochasticity,"small population, environmental changes cause fluctuations",,,,,,,,,,,,,,,,,,,,,
GAS02,Goldfields,Sch1:Mammals,Bettongia lesueur lesueur,"Burrowing Bettong (Shark Bay), Boodie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natural catastrophes,"small population,  high risk",,,,,,,,,,,,,,,,,,,,,
GAS02,Goldfields,Sch1:Mammals,Bettongia lesueur lesueur,"Burrowing Bettong (Shark Bay), Boodie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genetic stochasticity,"small population,  high risk",,,,,,,,,,,,,,,,,,,,,
GAS02,Goldfields,Sch1:Mammals,Bettongia lesueur lesueur,"Burrowing Bettong (Shark Bay), Boodie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Demographic stochasticity,"small population,  high risk",,,,,,,,,,,,,,,,,,,,,
GAS02,Goldfields,Sch1:Mammals,Bettongia lesueur lesueur,"Burrowing Bettong (Shark Bay), Boodie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weeds (specify dominant spp),buffel grass (influences fire regime),,,,,,,,,,,,,,,,,,,,,
JAF01,Wheatbelt,Sch1:Mammals,Bettongia lesueur lesueur,"Burrowing Bettong (Shark Bay), Boodie",Dryandra,Refer to State level,,,,,0,0,Refer to State level,Quantitative unpublished data and expert opinion,N/A,-,"Mammal workshop: translocation, not yet considered successful",N/A,N/A,,,,"Mammal workshop: translocation, not yet considered successful, unknown numbers",Refer to State level,Refer to State level,,N/A,,N/A,N/A,,,,,N/A,,,,2013,,,,Vulnerable,Vulnerable,1998,,Invasive/introduced predators (specify),"cats, foxes",Invasive/introduced predators (specify),"cats, foxes (risk of incursions & constrains reintrodiuction)",2012,,,,,,EV i) Develop/implement ecological monitoring protocols (condition or state of asset),,CP i) Threatened taxa recovery plan (specify),"Recovery team required, broaden recovery plan to include all populations (currently only Shark Bay)",MD iii) Predator control or eradication,"predator exclosures (fencing); predator control (cats, foxes)",MI xii) Planning processes,DPaW input to planning processes,MI xiii) Education and awareness (specify),education of community regarding responsibility for threatened species (Dryandra),"JM: I added management actions from other Dryandra species, please check",,,,
JAF01,Wheatbelt,Sch1:Mammals,Bettongia lesueur lesueur,"Burrowing Bettong (Shark Bay), Boodie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invasive/introduced omnivores (specify),rats,,,,,,,EV ii) Develop/implement threat monitoring protocols,,,,MD vi) Habitat restoration (specify),maintenance of fencing,,,,,,,,,
JAF01,Wheatbelt,Sch1:Mammals,Bettongia lesueur lesueur,"Burrowing Bettong (Shark Bay), Boodie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Climate change (long-term higher temperatures),,,,,,,,,,,,MD ix) Translocation,re-stocking of existing populations,,,,,,,,,
JAF01,Wheatbelt,Sch1:Mammals,Bettongia lesueur lesueur,"Burrowing Bettong (Shark Bay), Boodie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Climate change (long-term reduced rainfall),,,,,,,,,,,,MD i) Fire management for biodiversity (specify),,,,,,,,,,
JAF01,Wheatbelt,Sch1:Mammals,Bettongia lesueur lesueur,"Burrowing Bettong (Shark Bay), Boodie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire scale,"potential wildfire, significant risk to enclosure populations",,,,,,,,,,,,,,,,,,,,,
JAF01,Wheatbelt,Sch1:Mammals,Bettongia lesueur lesueur,"Burrowing Bettong (Shark Bay), Boodie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental stochasticity,"small population, environmental changes cause fluctuations",,,,,,,,,,,,,,,,,,,,,
JAF01,Wheatbelt,Sch1:Mammals,Bettongia lesueur lesueur,"Burrowing Bettong (Shark Bay), Boodie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natural catastrophes,"small population,  high risk",,,,,,,,,,,,,,,,,,,,,
JAF01,Wheatbelt,Sch1:Mammals,Bettongia lesueur lesueur,"Burrowing Bettong (Shark Bay), Boodie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Genetic stochasticity,"small population,  high risk",,,,,,,,,,,,,,,,,,,,,
JAF01,Wheatbelt,Sch1:Mammals,Bettongia lesueur lesueur,"Burrowing Bettong (Shark Bay), Boodie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Demographic stochasticity,"small population,  high risk",,,,,,,,,,,,,,,,,,,,,
JAF01,Wheatbelt,Sch1:Mammals,Bettongia lesueur lesueur,"Burrowing Bettong (Shark Bay), Boodie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weeds (specify dominant spp),buffel grass (influences fire regime),,,,,,,,,,,,,,,,,,,,,
JAF01,Wheatbelt,Sch1:Mammals,Bettongia lesueur lesueur,"Burrowing Bettong (Shark Bay), Boodie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAF01,Wheatbelt,Sch1:Mammals,Bettongia lesueur lesueur,"Burrowing Bettong (Shark Bay), Boodie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Australia,"Pilbara, Goldfields",Sch1:Mammals,Bettongia lesueur ssp. (WAM M10733),"Burrowing Bettong (Barrow Island), Boodie",populations below,1,Quantitative analysis of data published or publically available following peer review,Static,Expert opinion,,2,1,Less than or equal to 5 (potentially meets location/subpopulation criteria EN),Quantitative analysis of data published or publically available following peer review,Static (no change),Quantitative analysis of data published or publically available following peer review,"MAP: Also introduced to Alpha Island, Montebello Islands and Lorna Glen but not considered to be established pops (MAP). ","3,600","< 10,000 (potentially meets mature individual criteria VU)",Quantitative analysis of data published or publically available following peer review,Static (no change),,"RP Barrow Island 3000; Boodie Island 200; MAP Barrow 3400 + Boodie Island 200 = 3600. Alpha, Montebello and Lorna Glen pops not yet counted as successful","30,200","< 100,000ha (potentially meets extent of occurrence criteria CR)",Minimum convex polygon (state detail):,Static (no change),"MAP reports same figure as for AOO, however this can't be true as its 2 islands. JM calc: 30200ha is polygon cut to shape of Barrow Island in the north and over ocean to boundary of Boodie island in the south. ","23,800","< 100,000ha (potentially meets area of occupancy criteria for VU)",Other (state details):,Static (no change),MAP,,Unknown,-,Unknown,JM: habitat specificty not included in MAP,2012,,,JM: past pressures and future threats as for other Barrow Island species,Vulnerable,Vulnerable,,D2,Oil & gas - drilling & production,"habitat clearing,  vehicle strike",Oil & gas - drilling & production,"habitat clearing,  vehicle strike",2012,,,Currently threatened taxa but likely priority or not threatened,SC i.b) Nomenclature,revise taxonomy according to results of genetic studies,EV iv) Develop/implement monitoring and evaluation and reporting plan ,,CP i) Threatened taxa recovery plan (specify),"Recovery team required, broaden recovery plan to include subspecies",MD ix) Translocation,where appropriate,"MI vii) Biosecurity measures – border (inspections, regulatory control) (specify)","quarantine measures to prevent introductionsfor predators, rodents & weeds (Barrow Island)",MI xiii) Education and awareness (specify),Barrow Island workers,Notes from workshop: Action Plan threatened macropods Jackie Richards,,,,
Western Australia,"Pilbara, Goldfields",Sch1:Mammals,Bettongia lesueur ssp. (WAM M10733),"Burrowing Bettong (Barrow Island), Boodie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keith Claymore: black rats have been a past pressure on Boodie Island,,,,,Invasive/introduced predators (specify),"cats, foxes, wild dogs/dingoes (mainland). ",Invasive/introduced predators (specify),"cats, foxes (risk of incursions & constrains reintrodiuction)",,,,,SC ii) Phylogeography & genetic variation/structuring ,finalise study of genetic differences ,EV vi) Input of existing data into DPaW’s corporate databases (specify source of data); EV vi) Input of existing data into DPaW’s corporate databases (specify source of data),,,,MD ii) Weed control or eradication,buffel grass,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),liaison with proponents (gas development),,,"JM: management actions added for Barrow Island and Lorna Glen consistent with other species, please check",,,,
Western Australia,"Pilbara, Goldfields",Sch1:Mammals,Bettongia lesueur ssp. (WAM M10733),"Burrowing Bettong (Barrow Island), Boodie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invasive/introduced omnivores (specify),black rats (Boodie Island),Invasive/introduced omnivores (specify),rats,,,,,MA iv) Mitigating threatening processes – species,develop effective cat control,,,,,MD i) Fire management for biodiversity (specify),,MI xi) Regulation - environmental impact assessment,,,,,,,,
Western Australia,"Pilbara, Goldfields",Sch1:Mammals,Bettongia lesueur ssp. (WAM M10733),"Burrowing Bettong (Barrow Island), Boodie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fire scale,"potential wildfire, significant risk to enclosure populations",,,,,SC iii) Determination/re-evaluation of conservation status/formal classification,reasses on recommendations of MAP (near threatened/conservation dependant),,,,,MD iii) Predator control or eradication,"predator exclosures (fencing); predator control (cats, foxes) (Lorna Glen)",MI xii) Assessment of compliance to approval/conditions/land use under legislation and/or enforcement of legislation,,,,,,,,
Western Australia,"Pilbara, Goldfields",Sch1:Mammals,Bettongia lesueur ssp. (WAM M10733),"Burrowing Bettong (Barrow Island), Boodie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MD vi) Habitat restoration (specify),maintenance of predator-proof barrier fence at Lorna Glen,MI xii) Planning processes,DPaW input to planning processes,,,,,,,
Western Australia,"Pilbara, Goldfields",Sch1:Mammals,Bettongia lesueur ssp. (WAM M10733),"Burrowing Bettong (Barrow Island), Boodie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI v) Ex-situ conservation (specify),use of Lorna Glen as ex situ conservation site,,,,,,,
Western Australia,"Pilbara, Goldfields",Sch1:Mammals,Bettongia lesueur ssp. (WAM M10733),"Burrowing Bettong (Barrow Island), Boodie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI xii) Planning processes,DPaW input to planning processes,,,,,,,
CAR01,Pilbara,Sch1:Mammals,Bettongia lesueur ssp. (WAM M10733),"Burrowing Bettong (Barrow Island), Boodie","Barrow Island, Boodie Island, Montebellos",Refer to State level,,,,,2,1,Refer to State level,Quantitative analysis of data published or publically available following peer review,Static (no change),Quantitative analysis of data published or publically available following peer review,MAP: Boodie island translocation 1993. ,"3,600","< 10,000 (sub-region)",Quantitative analysis of data published or publically available following peer review,Static (no change),Quantitative analysis of data published or publically available following peer review,MAP. Alpha and Montebello Islands not included as not yet considered successful. ,Refer to State level,Refer to State level,,Static (no change),,"23,800","< 100,000ha (sub-region)",Other (state details):,Static (no change),MAP,,,,,,,,2013,JM follow up Biota and Short,Vulnerable,Vulnerable,,D2,Oil & gas - drilling & production,"habitat clearing,  vehicle strike",Invasive/introduced predators (specify),"cats, foxes (risk of incursions & constrains reintrodiuction)",2012,,,,,,EV iv) Develop/implement monitoring and evaluation and reporting plan ,,CP i) Threatened taxa recovery plan (specify),"Recovery team required, broaden recovery plan to include subspecies",MD ix) Translocation,where appropriate,"MI vii) Biosecurity measures – border (inspections, regulatory control) (specify)","quarantine measures to prevent introductionsfor predators, rodents & weeds (Barrow Island)",MI xiii) Education and awareness (specify),Barrow Island workers,"JM: management actions added for Barrow Island , please check",,,,
